src_app,target_app,count,mean,std,min,25%,50%,75%,max
a44-b42,a43-b42,30.0,0.7327635327635328,0.13878051648681708,0.2222222222222222,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693
a44-b42,a45-b42,32.0,0.7035409035409037,0.15065515017558836,0.2222222222222222,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693
a45-b41,a43-b41,55.0,0.6614718614718613,0.021827036538169135,0.5714285714285715,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
a45-b41,a44-b41,54.0,0.6617283950617282,0.04668410993802826,0.5714285714285715,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8
a45-b42,a43-b42,31.0,0.6799533799533802,0.1737247279022477,0.2222222222222222,0.6636363636363636,0.7692307692307693,0.7692307692307693,0.7692307692307693
a45-b42,a44-b42,30.0,0.747948717948718,0.08204893343234614,0.4,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693
a51-b52,a52-b52,50.0,0.41428571428571415,0.16134069694736633,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8571428571428571
a51-b52,a53-b52,65.0,0.484981684981685,0.2613972772291675,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.4,1.0
a51-b52,a54-b52,72.0,0.9603174603174602,0.13865954684296097,0.3333333333333333,1.0,1.0,1.0,1.0
a51-b52,a55-b52,63.0,0.7333333333333332,0.3206176834248716,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0
a52-b52,a51-b52,57.0,0.4177109440267335,0.13678049487672275,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5714285714285715,0.8571428571428571
a52-b52,a53-b52,54.0,0.9320987654320987,0.17590293718643835,0.3333333333333333,1.0,1.0,1.0,1.0
a52-b52,a54-b52,66.0,0.7056277056277056,0.3029512479535305,0.2857142857142857,0.3333333333333333,0.7333333333333334,1.0,1.0
a52-b52,a55-b52,43.0,0.6162790697674418,0.31365502677517587,0.3333333333333333,0.3333333333333333,0.4,1.0,1.0
a53-b52,a51-b52,72.0,0.35300925925925924,0.08789515685465615,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
a53-b52,a52-b52,66.0,0.711940836940837,0.24681133849297512,0.25,0.6666666666666666,0.6666666666666666,1.0,1.0
a53-b52,a54-b52,63.0,0.6899081518129135,0.2302817323496926,0.2,0.5,0.8,0.888888888888889,0.888888888888889
a53-b52,a55-b52,27.0,0.6378600823045267,0.27254488568456664,0.2222222222222222,0.3472222222222222,0.6666666666666665,0.888888888888889,1.0
a54-b52,a51-b52,74.0,0.8154761904761905,0.2718794535045061,0.2857142857142857,0.6666666666666666,1.0,1.0,1.0
a54-b52,a52-b52,40.0,0.5764880952380952,0.2302569287588704,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0
a54-b52,a53-b52,42.0,0.8049697656840513,0.24688878611128076,0.2222222222222222,0.6666666666666665,1.0,1.0,1.0
a54-b52,a55-b52,68.0,0.875,0.1806910449672127,0.25,0.75,1.0,1.0,1.0
a55-b52,a51-b52,59.0,0.36541565778853907,0.10327005009857253,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7499999999999999
a55-b52,a52-b52,26.0,0.4253663003663003,0.16209924216935315,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.625,0.7499999999999999
a55-b52,a53-b52,48.0,0.6591435185185185,0.2953098977221459,0.2222222222222222,0.4166666666666667,0.6666666666666665,1.0,1.0
a55-b52,a54-b52,72.0,0.8986441798941799,0.19926481175096525,0.25,0.75,1.0,1.0,1.0
a61-b61,a62-b61,54.0,0.27002345874894884,0.13144525364162626,0.1176470588235294,0.1666666666666666,0.1818181818181818,0.3999999999999999,0.4615384615384615
a61-b61,a63-b61,1.0,0.0909090909090909,,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909
a61-b61,a64-b61,12.0,0.1918517833016756,0.0792764971944236,0.0869565217391304,0.1383928571428571,0.1714285714285714,0.24789915966386553,0.3333333333333333
a62-b61,a61-b61,0.0,,,,,,,
a62-b61,a63-b61,37.0,0.2834503775680246,0.09683442327000627,0.1333333333333333,0.2,0.3076923076923076,0.3636363636363636,0.4
a62-b61,a64-b61,44.0,0.3118792257090878,0.13425270810142112,0.1052631578947368,0.2222222222222222,0.3205128205128205,0.3857142857142857,0.7692307692307692
a63-b61,a61-b61,0.0,,,,,,,
a63-b61,a62-b61,48.0,0.4619178615502144,0.2797958435060828,0.1176470588235294,0.2,0.4,0.7692307692307692,0.923076923076923
a63-b61,a64-b61,34.0,0.23294546769323674,0.1276877236230276,0.1333333333333333,0.157051282051282,0.1818181818181818,0.2666666666666666,0.7692307692307692
a64-b61,a61-b61,0.0,,,,,,,
a64-b61,a62-b61,48.0,0.43063082750582754,0.18793486124902184,0.1538461538461538,0.2857142857142857,0.4285714285714285,0.5454545454545454,0.8333333333333333
a64-b61,a63-b61,8.0,0.7928321678321677,0.16586162104372476,0.6153846153846153,0.6153846153846153,0.8251748251748251,0.923076923076923,1.0
a72-b71,a73-b71,25.0,0.27915151515151515,0.19863705064768564,0.1666666666666666,0.2,0.2,0.2222222222222222,0.8
a72-b71,a74-b71,0.0,,,,,,,
a73-b71,a72-b71,28.0,0.39769704501847364,0.14749286403519946,0.1666666666666666,0.2857142857142857,0.36931818181818177,0.4825174825174825,0.7272727272727273
a73-b71,a74-b71,0.0,,,,,,,
a74-b71,a72-b71,19.0,0.6710526315789473,0.1873171623163388,0.25,0.75,0.75,0.75,0.75
a74-b71,a73-b71,3.0,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
a81-b81,a82-b81,51.0,0.2546543870073281,0.07529293970869678,0.1818181818181818,0.2222222222222222,0.25,0.25,0.6666666666666665
a81-b81,a83-b81,35.0,0.571832611832612,0.2529195402440819,0.1666666666666666,0.3333333333333333,0.6666666666666665,0.6969696969696969,0.888888888888889
a82-b81,a81-b81,50.0,0.6350000000000001,0.21895518594078275,0.2222222222222222,0.5,0.6666666666666666,0.8571428571428571,1.0
a82-b81,a83-b81,32.0,0.5112103174603174,0.24544673440868478,0.2,0.3333333333333333,0.5357142857142858,0.5952380952380952,1.0
a83-b81,a81-b81,69.0,0.5318087709392055,0.20624434169886602,0.1666666666666666,0.3636363636363636,0.5454545454545454,0.7499999999999999,0.7499999999999999
a83-b81,a82-b81,61.0,0.4716776847924389,0.120468656402227,0.3076923076923076,0.4,0.4444444444444444,0.5,0.7499999999999999
a84-b81,a81-b81,59.0,0.38942245856503077,0.1642933965971149,0.1333333333333333,0.1742424242424242,0.4615384615384615,0.5000000000000001,0.6666666666666666
a84-b81,a82-b81,35.0,0.3931616947985234,0.09703936564947112,0.1818181818181818,0.3529411764705882,0.4,0.4615384615384615,0.6153846153846154
a84-b81,a83-b81,45.0,0.35653232159424103,0.14859994778750024,0.1176470588235294,0.2352941176470588,0.3749999999999999,0.5,0.6666666666666666
